"Threat name: GandCrab.exe 
Threat ID: 1305271162696709733 
Mitigation name: remediate 
Mitigation Status: success"
Timestamp (UTC),Path,Registry Key,Status
2021-12-06 22:22:07.113+00:00,\Device\HarddiskVolume2\Users\Public\Videos\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Music\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Downloads\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.269+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Internet Explorer\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.113+00:00,\Device\HarddiskVolume2\Users\Public\Pictures\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.113+00:00,\Device\HarddiskVolume2\Users\Public\Downloads\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.316+00:00,\Device\HarddiskVolume2\$77074816EC77462F8BA575BE685B2DB8\5ADE973C47F64C2C83ED61694B9A9CB8\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Windows\SendTo\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.113+00:00,\Device\HarddiskVolume2\Users\Public\Music\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.113+00:00,\Device\HarddiskVolume2\Users\Public\Libraries\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs11\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.113+00:00,\Device\HarddiskVolume2\Users\Public\Libraries\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.316+00:00,\Device\HarddiskVolume2\$77074816EC77462F8BA575BE685B2DB8\4C66D6FA15D1498EA3EE9CF828BEA25B\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Videos\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs4\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Videos\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Pictures\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Pictures\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Music\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs9\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs9\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs8\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Searches\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs8\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs7\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Videos\Captures\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs7\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs2\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.238+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Network\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs6\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Saved Games\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs3\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs6\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs5\38885c3238885bd86e.lock,,success
